
method,ccn,ccn2,cloc,eloc,lloc,loc,ncloc,npath
GUIDname,2.0,2.0,0.0,7.0,4.0,7.0,7.0,2.0,  
ASFIndexObjectIndexTypeLookup,3.0,3.0,0.0,9.0,6.0,9.0,9.0,10.0,  
GUIDtoBytestring,1.0,1.0,8.0,19.0,17.0,34.0,26.0,1.0,  
BytestringToGUID,1.0,1.0,0.0,23.0,21.0,24.0,24.0,1.0,  
FILETIMEtoUNIXtime,2.0,2.0,4.0,6.0,3.0,10.0,6.0,2.0,  
WMpictureTypeLookup,3.0,3.0,0.0,24.0,21.0,24.0,24.0,10.0,  
ASF_HeaderExtensionObjectDataParse,24.0,24.0,11.0,179.0,163.0,245.0,234.0,47.0,  
ASFmetadataLibraryObjectDataTypeLookup,2.0,2.0,7.0,12.0,2.0,12.0,5.0,5.0,  
ASF_WMpicture,5.0,5.0,7.0,35.0,29.0,49.0,42.0,16.0,  
TrimConvert,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
TrimTerm,2.0,2.0,1.0,6.0,3.0,7.0,6.0,2.0,  
Analyze,38.0,40.0,19.0,197.0,172.0,244.0,225.0,54528.0,  
FLVaudioFormat,2.0,2.0,3.0,21.0,2.0,21.0,18.0,5.0,  
FLVaudioRate,2.0,2.0,0.0,9.0,2.0,9.0,9.0,5.0,  
FLVaudioBitDepth,2.0,2.0,0.0,7.0,2.0,7.0,7.0,5.0,  
FLVvideoCodec,2.0,2.0,0.0,11.0,2.0,11.0,11.0,5.0,  
AMFStream,1.0,1.0,0.0,4.0,2.0,4.0,4.0,1.0,  
readByte,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
readInt,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
readLong,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
readDouble,1.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,  
